company_id,company_name,company_category,is_synthetic_name,note
arx_000,AxisLayer AI,Workflow automation,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_001,NeuralPilot Labs,AI operations,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_002,LuminaOps AI,AI operations,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_003,RelayMind Systems,Customer intelligence,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_004,ContractFlow AI,Contract automation,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_005,Vectorly AI,Developer tooling,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_006,AgentGrid Software,Agent infrastructure,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_007,SynthLedger,Finance automation,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_008,PrismAgent,AI assistant platform,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_009,ModelPath,Model operations,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_010,TaskForge AI,Workflow automation,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_011,PromptRiver,Prompt operations,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_012,SignalDesk AI,Customer intelligence,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_013,FlowPilot AI,Workflow automation,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_014,VertexCare AI,Support automation,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_015,LedgerLoop AI,Finance automation,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_016,BrightOps AI,AI operations,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_017,ChurnGuard AI,Retention intelligence,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_018,DataRoom AI,Document intelligence,true,Presentation-safe fictional display name for a synthetic borrower bucket.
arx_019,VoiceRelay AI,Voice automation,true,Presentation-safe fictional display name for a synthetic borrower bucket.
